SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
LUGASSON/lug00000045_560nm.tif,lug00000045_560nm.tif,44.7494368,-0.1698408,142.962997
LUGASSON/lug00000046_560nm.tif,lug00000046_560nm.tif,44.7495134,-0.1700829,140.263
LUGASSON/lug00000051_560nm.tif,lug00000051_560nm.tif,44.7501285,-0.1702718,144.863007
LUGASSON/lug00000056_560nm.tif,lug00000056_560nm.tif,44.7506826,-0.1703147,148.063004
LUGASSON/lug00000057_560nm.tif,lug00000057_560nm.tif,44.7507467,-0.1704632,144.863007
LUGASSON/lug00000060_560nm.tif,lug00000060_560nm.tif,44.7510638,-0.1707479,141.363007
LUGASSON/lug00000061_560nm.tif,lug00000061_560nm.tif,44.7511963,-0.1707271,141.063004
LUGASSON/lug00000065_560nm.tif,lug00000065_560nm.tif,44.7516972,-0.1707682,140.863007
LUGASSON/lug00000066_560nm.tif,lug00000066_560nm.tif,44.7517997,-0.1708496,140.962997
LUGASSON/lug00000067_560nm.tif,lug00000067_560nm.tif,44.7519092,-0.1709214,140.863007
LUGASSON/lug00000068_560nm.tif,lug00000068_560nm.tif,44.7520222,-0.1709741,140.563004
LUGASSON/lug00000069_560nm.tif,lug00000069_560nm.tif,44.7521467,-0.1710131,140.162994
LUGASSON/lug00000070_560nm.tif,lug00000070_560nm.tif,44.752267,-0.1710542,140.563004
LUGASSON/lug00000071_560nm.tif,lug00000071_560nm.tif,44.7523803,-0.1711018,141.962997
LUGASSON/lug00000073_560nm.tif,lug00000073_560nm.tif,44.7526143,-0.1711989,143.263
LUGASSON/lug00000074_560nm.tif,lug00000074_560nm.tif,44.7527426,-0.1712397,142.962997
LUGASSON/lug00000075_560nm.tif,lug00000075_560nm.tif,44.7528649,-0.1712754,141.962997
LUGASSON/lug00000076_560nm.tif,lug00000076_560nm.tif,44.7529833,-0.1713127,140.962997
LUGASSON/lug00000077_560nm.tif,lug00000077_560nm.tif,44.7531036,-0.1713526,140.063004
LUGASSON/lug00000078_560nm.tif,lug00000078_560nm.tif,44.7532293,-0.1714045,139.763
LUGASSON/lug00000080_560nm.tif,lug00000080_560nm.tif,44.7534749,-0.1715284,141.063004
LUGASSON/lug00000081_560nm.tif,lug00000081_560nm.tif,44.7536027,-0.1715889,141.962997
LUGASSON/lug00000082_560nm.tif,lug00000082_560nm.tif,44.7537402,-0.1716518,142.563004
LUGASSON/lug00000083_560nm.tif,lug00000083_560nm.tif,44.7538546,-0.1717142,143.662994
LUGASSON/lug00000084_560nm.tif,lug00000084_560nm.tif,44.7539793,-0.1717402,143.863007
LUGASSON/lug00000085_560nm.tif,lug00000085_560nm.tif,44.7541089,-0.1717477,143.763
LUGASSON/lug00000087_560nm.tif,lug00000087_560nm.tif,44.7543672,-0.171809,144.763
LUGASSON/lug00000088_560nm.tif,lug00000088_560nm.tif,44.7544906,-0.1718829,144.863007
LUGASSON/lug00000089_560nm.tif,lug00000089_560nm.tif,44.7546022,-0.1719719,144.363007
LUGASSON/lug00000090_560nm.tif,lug00000090_560nm.tif,44.7547188,-0.1720677,144.962997
LUGASSON/lug00000091_560nm.tif,lug00000091_560nm.tif,44.7548315,-0.1721376,147.462997
LUGASSON/lug00000092_560nm.tif,lug00000092_560nm.tif,44.7549446,-0.1721769,148.462997
LUGASSON/lug00000093_560nm.tif,lug00000093_560nm.tif,44.7550679,-0.1721799,147.363007
LUGASSON/lug00000099_560nm.tif,lug00000099_560nm.tif,44.7558634,-0.172337,148.162994
LUGASSON/lug00000100_560nm.tif,lug00000100_560nm.tif,44.7559642,-0.1724202,146.962997
LUGASSON/lug00000101_560nm.tif,lug00000101_560nm.tif,44.7560767,-0.1725009,145.962997
LUGASSON/lug00000102_560nm.tif,lug00000102_560nm.tif,44.7561948,-0.1725557,144.563004
LUGASSON/lug00000103_560nm.tif,lug00000103_560nm.tif,44.7563167,-0.1725887,143.462997
LUGASSON/lug00000105_560nm.tif,lug00000105_560nm.tif,44.7565783,-0.172654,142.863007
LUGASSON/lug00000106_560nm.tif,lug00000106_560nm.tif,44.7566958,-0.1727014,142.863007
LUGASSON/lug00000107_560nm.tif,lug00000107_560nm.tif,44.7568074,-0.1727551,142.863007
LUGASSON/lug00000108_560nm.tif,lug00000108_560nm.tif,44.7569218,-0.1728156,143.063004
LUGASSON/lug00000109_560nm.tif,lug00000109_560nm.tif,44.7570312,-0.172878,143.563004
LUGASSON/lug00000110_560nm.tif,lug00000110_560nm.tif,44.7571485,-0.1729323,143.363007
LUGASSON/lug00000111_560nm.tif,lug00000111_560nm.tif,44.7572708,-0.1729663,142.863007
LUGASSON/lug00000112_560nm.tif,lug00000112_560nm.tif,44.7574037,-0.1729855,142.263
LUGASSON/lug00000113_560nm.tif,lug00000113_560nm.tif,44.7575332,-0.1730016,142.462997
LUGASSON/lug00000115_560nm.tif,lug00000115_560nm.tif,44.7577703,-0.1730923,142.962997
LUGASSON/lug00000120_560nm.tif,lug00000120_560nm.tif,44.7572342,-0.1734959,137.962997
LUGASSON/lug00000123_560nm.tif,lug00000123_560nm.tif,44.756522,-0.1734435,145.263
LUGASSON/lug00000124_560nm.tif,lug00000124_560nm.tif,44.7562883,-0.1735165,144.863007
LUGASSON/lug00000125_560nm.tif,lug00000125_560nm.tif,44.7560521,-0.1736014,144.263
LUGASSON/lug00000126_560nm.tif,lug00000126_560nm.tif,44.7558229,-0.1736819,144.863007
LUGASSON/lug00000127_560nm.tif,lug00000127_560nm.tif,44.7555917,-0.1737642,145.662994
LUGASSON/lug00000128_560nm.tif,lug00000128_560nm.tif,44.7553725,-0.17383,145.263
LUGASSON/lug00000129_560nm.tif,lug00000129_560nm.tif,44.7551446,-0.1738881,145.363007
LUGASSON/lug00000130_560nm.tif,lug00000130_560nm.tif,44.7548896,-0.1739597,145.063004
LUGASSON/lug00000131_560nm.tif,lug00000131_560nm.tif,44.754643,-0.1740171,145.563004
LUGASSON/lug00000132_560nm.tif,lug00000132_560nm.tif,44.7543883,-0.1740698,145.763
LUGASSON/lug00000133_560nm.tif,lug00000133_560nm.tif,44.7541281,-0.174133,145.863007
LUGASSON/lug00000134_560nm.tif,lug00000134_560nm.tif,44.7538743,-0.1741948,146.462997
LUGASSON/lug00000135_560nm.tif,lug00000135_560nm.tif,44.7536124,-0.1742753,148.162994
LUGASSON/lug00000136_560nm.tif,lug00000136_560nm.tif,44.7533238,-0.1743735,149.363007
LUGASSON/lug00000138_560nm.tif,lug00000138_560nm.tif,44.7527909,-0.1745144,152.363007
LUGASSON/lug00000140_560nm.tif,lug00000140_560nm.tif,44.7522611,-0.1746171,150.763
LUGASSON/lug00000141_560nm.tif,lug00000141_560nm.tif,44.7520055,-0.1746496,149.763
LUGASSON/lug00000142_560nm.tif,lug00000142_560nm.tif,44.7517439,-0.1746838,148.863007
LUGASSON/lug00000143_560nm.tif,lug00000143_560nm.tif,44.7514923,-0.174727,146.863007
LUGASSON/lug00000144_560nm.tif,lug00000144_560nm.tif,44.751249,-0.174775,147.263
LUGASSON/lug00000145_560nm.tif,lug00000145_560nm.tif,44.7509935,-0.174833,147.263
LUGASSON/lug00000146_560nm.tif,lug00000146_560nm.tif,44.7507407,-0.1748894,147.063004
LUGASSON/lug00000147_560nm.tif,lug00000147_560nm.tif,44.750492,-0.1749528,147.462997
LUGASSON/lug00000148_560nm.tif,lug00000148_560nm.tif,44.7502387,-0.1750242,147.563004
LUGASSON/lug00000150_560nm.tif,lug00000150_560nm.tif,44.7497106,-0.1751358,149.162994
LUGASSON/lug00000152_560nm.tif,lug00000152_560nm.tif,44.7492006,-0.1751668,151.763
LUGASSON/lug00000153_560nm.tif,lug00000153_560nm.tif,44.7489504,-0.1751817,150.662994
LUGASSON/lug00000154_560nm.tif,lug00000154_560nm.tif,44.7487044,-0.1751884,150.662994
LUGASSON/lug00000155_560nm.tif,lug00000155_560nm.tif,44.7484559,-0.1751843,151.162994
LUGASSON/lug00000167_560nm.tif,lug00000167_560nm.tif,44.7479763,-0.1745426,153.462997
LUGASSON/lug00000172_560nm.tif,lug00000172_560nm.tif,44.7484941,-0.1750909,154.662994
LUGASSON/lug00000173_560nm.tif,lug00000173_560nm.tif,44.7486688,-0.1750209,154.162994
LUGASSON/lug00000174_560nm.tif,lug00000174_560nm.tif,44.7488493,-0.1749277,153.363007
LUGASSON/lug00000175_560nm.tif,lug00000175_560nm.tif,44.7491223,-0.1748225,153.962997
LUGASSON/lug00000176_560nm.tif,lug00000176_560nm.tif,44.7492946,-0.1747675,155.863007
LUGASSON/lug00000178_560nm.tif,lug00000178_560nm.tif,44.7496535,-0.1746994,158.563004
LUGASSON/lug00000179_560nm.tif,lug00000179_560nm.tif,44.7498291,-0.1746768,160.063004
LUGASSON/lug00000180_560nm.tif,lug00000180_560nm.tif,44.7500258,-0.1746384,160.162994
LUGASSON/lug00000182_560nm.tif,lug00000182_560nm.tif,44.7503447,-0.1746613,159.962997
LUGASSON/lug00000183_560nm.tif,lug00000183_560nm.tif,44.7504858,-0.1746954,158.662994
LUGASSON/lug00000184_560nm.tif,lug00000184_560nm.tif,44.7506335,-0.174706,155.662994
LUGASSON/lug00000185_560nm.tif,lug00000185_560nm.tif,44.7507822,-0.174673,153.263
LUGASSON/lug00000186_560nm.tif,lug00000186_560nm.tif,44.7509283,-0.1745861,152.162994
LUGASSON/lug00000187_560nm.tif,lug00000187_560nm.tif,44.7510658,-0.1744759,151.962997
LUGASSON/lug00000190_560nm.tif,lug00000190_560nm.tif,44.7515281,-0.1744219,151.563004
LUGASSON/lug00000193_560nm.tif,lug00000193_560nm.tif,44.7521117,-0.1744842,155.863007
LUGASSON/lug00000194_560nm.tif,lug00000194_560nm.tif,44.7522701,-0.1743704,157.563004
LUGASSON/lug00000197_560nm.tif,lug00000197_560nm.tif,44.7527003,-0.1740812,154.662994
LUGASSON/lug00000198_560nm.tif,lug00000198_560nm.tif,44.7528509,-0.1740223,153.962997
LUGASSON/lug00000199_560nm.tif,lug00000199_560nm.tif,44.7530153,-0.1739783,153.563004
LUGASSON/lug00000200_560nm.tif,lug00000200_560nm.tif,44.7531845,-0.1739418,152.962997
LUGASSON/lug00000201_560nm.tif,lug00000201_560nm.tif,44.7533461,-0.1739162,152.662994
LUGASSON/lug00000202_560nm.tif,lug00000202_560nm.tif,44.7534897,-0.1738852,152.662994
LUGASSON/lug00000203_560nm.tif,lug00000203_560nm.tif,44.7536285,-0.1738358,152.462997
LUGASSON/lug00000207_560nm.tif,lug00000207_560nm.tif,44.7542079,-0.1737516,149.363007
LUGASSON/lug00000208_560nm.tif,lug00000208_560nm.tif,44.7543603,-0.1737576,149.763
LUGASSON/lug00000209_560nm.tif,lug00000209_560nm.tif,44.7545144,-0.1737537,151.162994
LUGASSON/lug00000210_560nm.tif,lug00000210_560nm.tif,44.754654,-0.1737224,153.263
LUGASSON/lug00000211_560nm.tif,lug00000211_560nm.tif,44.7547978,-0.1736735,154.162994
LUGASSON/lug00000212_560nm.tif,lug00000212_560nm.tif,44.7549328,-0.1736183,154.563004
LUGASSON/lug00000214_560nm.tif,lug00000214_560nm.tif,44.7552108,-0.1735183,154.863007
LUGASSON/lug00000215_560nm.tif,lug00000215_560nm.tif,44.7553439,-0.1735122,154.662994
LUGASSON/lug00000216_560nm.tif,lug00000216_560nm.tif,44.7554784,-0.1735112,154.263
LUGASSON/lug00000217_560nm.tif,lug00000217_560nm.tif,44.7556103,-0.1735007,153.263
LUGASSON/lug00000218_560nm.tif,lug00000218_560nm.tif,44.7557432,-0.1734814,151.863007
LUGASSON/lug00000219_560nm.tif,lug00000219_560nm.tif,44.7558762,-0.1734536,150.863007
LUGASSON/lug00000220_560nm.tif,lug00000220_560nm.tif,44.7560089,-0.1734178,150.263
LUGASSON/lug00000221_560nm.tif,lug00000221_560nm.tif,44.7561397,-0.1733814,149.863007
LUGASSON/lug00000222_560nm.tif,lug00000222_560nm.tif,44.7562686,-0.1733444,149.863007
LUGASSON/lug00000223_560nm.tif,lug00000223_560nm.tif,44.7563979,-0.1733002,149.063004
LUGASSON/lug00000224_560nm.tif,lug00000224_560nm.tif,44.7565316,-0.173263,148.063004
LUGASSON/lug00000225_560nm.tif,lug00000225_560nm.tif,44.7566612,-0.1732339,147.263
LUGASSON/lug00000226_560nm.tif,lug00000226_560nm.tif,44.7568008,-0.1732126,145.962997
LUGASSON/lug00000227_560nm.tif,lug00000227_560nm.tif,44.7569351,-0.1731932,145.662994
LUGASSON/lug00000228_560nm.tif,lug00000228_560nm.tif,44.757072,-0.1731692,146.563004
LUGASSON/lug00000229_560nm.tif,lug00000229_560nm.tif,44.7572063,-0.1731494,148.763
LUGASSON/lug00000230_560nm.tif,lug00000230_560nm.tif,44.7573476,-0.1731232,151.263
LUGASSON/lug00000231_560nm.tif,lug00000231_560nm.tif,44.757486,-0.1730973,152.263
LUGASSON/lug00000232_560nm.tif,lug00000232_560nm.tif,44.7576262,-0.1730665,151.462997
LUGASSON/lug00000240_560nm.tif,lug00000240_560nm.tif,44.7567496,-0.1722844,155.363007
LUGASSON/lug00000241_560nm.tif,lug00000241_560nm.tif,44.7565984,-0.1725154,153.962997
LUGASSON/lug00000246_560nm.tif,lug00000246_560nm.tif,44.7555088,-0.1732063,153.263
LUGASSON/lug00000247_560nm.tif,lug00000247_560nm.tif,44.7552254,-0.1732412,154.462997
LUGASSON/lug00000248_560nm.tif,lug00000248_560nm.tif,44.754943,-0.1732841,155.063004
LUGASSON/lug00000249_560nm.tif,lug00000249_560nm.tif,44.7546661,-0.1733297,154.662994
LUGASSON/lug00000250_560nm.tif,lug00000250_560nm.tif,44.7544017,-0.1733805,154.263
LUGASSON/lug00000251_560nm.tif,lug00000251_560nm.tif,44.7541407,-0.1734387,153.462997
LUGASSON/lug00000252_560nm.tif,lug00000252_560nm.tif,44.753888,-0.1735094,152.563004
LUGASSON/lug00000253_560nm.tif,lug00000253_560nm.tif,44.7536167,-0.1735832,151.563004
LUGASSON/lug00000254_560nm.tif,lug00000254_560nm.tif,44.753362,-0.1736327,152.162994
LUGASSON/lug00000255_560nm.tif,lug00000255_560nm.tif,44.7531074,-0.1736802,154.162994
LUGASSON/lug00000256_560nm.tif,lug00000256_560nm.tif,44.7528416,-0.1737295,154.363007
LUGASSON/lug00000257_560nm.tif,lug00000257_560nm.tif,44.7525908,-0.1737766,153.162994
LUGASSON/lug00000258_560nm.tif,lug00000258_560nm.tif,44.7523388,-0.173848,152.162994
LUGASSON/lug00000260_560nm.tif,lug00000260_560nm.tif,44.7518179,-0.1739719,151.863007
LUGASSON/lug00000261_560nm.tif,lug00000261_560nm.tif,44.7515451,-0.174034,152.363007
LUGASSON/lug00000262_560nm.tif,lug00000262_560nm.tif,44.7512726,-0.1741021,154.162994
LUGASSON/lug00000263_560nm.tif,lug00000263_560nm.tif,44.7510061,-0.1741667,156.462997
LUGASSON/lug00000264_560nm.tif,lug00000264_560nm.tif,44.7506776,-0.1742374,158.263
LUGASSON/lug00000265_560nm.tif,lug00000265_560nm.tif,44.75042,-0.1742813,157.962997
LUGASSON/lug00000266_560nm.tif,lug00000266_560nm.tif,44.7501624,-0.1743304,155.063004
LUGASSON/lug00000267_560nm.tif,lug00000267_560nm.tif,44.7499022,-0.1743981,152.263
LUGASSON/lug00000268_560nm.tif,lug00000268_560nm.tif,44.7496308,-0.1744565,152.863007
LUGASSON/lug00000269_560nm.tif,lug00000269_560nm.tif,44.7493867,-0.1745025,154.462997
LUGASSON/lug00000270_560nm.tif,lug00000270_560nm.tif,44.7491287,-0.174544,156.263
LUGASSON/lug00000271_560nm.tif,lug00000271_560nm.tif,44.7488616,-0.1745927,156.363007
LUGASSON/lug00000272_560nm.tif,lug00000272_560nm.tif,44.7486159,-0.1746457,156.063004
LUGASSON/lug00000273_560nm.tif,lug00000273_560nm.tif,44.7483557,-0.1747144,155.662994
LUGASSON/lug00000290_560nm.tif,lug00000290_560nm.tif,44.7483066,-0.1743639,153.763
LUGASSON/lug00000295_560nm.tif,lug00000295_560nm.tif,44.7490055,-0.1740942,154.462997
LUGASSON/lug00000296_560nm.tif,lug00000296_560nm.tif,44.7491487,-0.1741474,153.962997
LUGASSON/lug00000297_560nm.tif,lug00000297_560nm.tif,44.7492771,-0.1741749,153.363007
LUGASSON/lug00000298_560nm.tif,lug00000298_560nm.tif,44.7494064,-0.1741741,152.962997
LUGASSON/lug00000299_560nm.tif,lug00000299_560nm.tif,44.7495356,-0.1741393,152.063004
LUGASSON/lug00000300_560nm.tif,lug00000300_560nm.tif,44.7496717,-0.1740646,151.063004
LUGASSON/lug00000303_560nm.tif,lug00000303_560nm.tif,44.7500839,-0.1739321,150.962997
LUGASSON/lug00000304_560nm.tif,lug00000304_560nm.tif,44.7502215,-0.1739416,150.063004
LUGASSON/lug00000305_560nm.tif,lug00000305_560nm.tif,44.7503635,-0.1739463,149.162994
LUGASSON/lug00000306_560nm.tif,lug00000306_560nm.tif,44.7505022,-0.1739416,149.162994
LUGASSON/lug00000307_560nm.tif,lug00000307_560nm.tif,44.7506443,-0.1739158,149.462997
LUGASSON/lug00000308_560nm.tif,lug00000308_560nm.tif,44.7507858,-0.1738479,149.563004
LUGASSON/lug00000311_560nm.tif,lug00000311_560nm.tif,44.7512269,-0.1736459,151.263
LUGASSON/lug00000312_560nm.tif,lug00000312_560nm.tif,44.7513665,-0.1736362,152.563004
LUGASSON/lug00000313_560nm.tif,lug00000313_560nm.tif,44.7515035,-0.1736371,152.863007
LUGASSON/lug00000314_560nm.tif,lug00000314_560nm.tif,44.7516461,-0.1736483,152.563004
LUGASSON/lug00000315_560nm.tif,lug00000315_560nm.tif,44.7517825,-0.173662,151.363007
LUGASSON/lug00000316_560nm.tif,lug00000316_560nm.tif,44.7519225,-0.1736646,150.063004
LUGASSON/lug00000319_560nm.tif,lug00000319_560nm.tif,44.7524302,-0.1735095,148.863007
LUGASSON/lug00000320_560nm.tif,lug00000320_560nm.tif,44.7525865,-0.1734611,152.763
LUGASSON/lug00000321_560nm.tif,lug00000321_560nm.tif,44.7527294,-0.1733975,156.363007
LUGASSON/lug00000322_560nm.tif,lug00000322_560nm.tif,44.7528903,-0.173322,158.063004
LUGASSON/lug00000324_560nm.tif,lug00000324_560nm.tif,44.7532017,-0.173265,159.162994
LUGASSON/lug00000325_560nm.tif,lug00000325_560nm.tif,44.7533514,-0.173305,159.063004
LUGASSON/lug00000326_560nm.tif,lug00000326_560nm.tif,44.753496,-0.173333,158.863007
LUGASSON/lug00000327_560nm.tif,lug00000327_560nm.tif,44.753652,-0.1733192,157.763
LUGASSON/lug00000328_560nm.tif,lug00000328_560nm.tif,44.7538111,-0.1732635,156.563004
LUGASSON/lug00000329_560nm.tif,lug00000329_560nm.tif,44.753981,-0.1731714,155.662994
LUGASSON/lug00000330_560nm.tif,lug00000330_560nm.tif,44.7541574,-0.1730753,155.063004
LUGASSON/lug00000333_560nm.tif,lug00000333_560nm.tif,44.7546972,-0.1729462,156.563004
LUGASSON/lug00000334_560nm.tif,lug00000334_560nm.tif,44.7548715,-0.1729534,156.863007
LUGASSON/lug00000335_560nm.tif,lug00000335_560nm.tif,44.7550454,-0.172945,156.563004
LUGASSON/lug00000336_560nm.tif,lug00000336_560nm.tif,44.755227,-0.1729152,157.063004
LUGASSON/lug00000337_560nm.tif,lug00000337_560nm.tif,44.7554044,-0.1728809,157.763
LUGASSON/lug00000338_560nm.tif,lug00000338_560nm.tif,44.7555758,-0.1728275,157.363007
LUGASSON/lug00000339_560nm.tif,lug00000339_560nm.tif,44.7557461,-0.1727504,156.363007
LUGASSON/lug00000343_560nm.tif,lug00000343_560nm.tif,44.7563574,-0.1725759,154.063004
LUGASSON/lug00000344_560nm.tif,lug00000344_560nm.tif,44.7565024,-0.1725643,152.962997
LUGASSON/lug00000345_560nm.tif,lug00000345_560nm.tif,44.7566622,-0.1725259,150.962997
LUGASSON/lug00000346_560nm.tif,lug00000346_560nm.tif,44.7568279,-0.1724884,149.662994
LUGASSON/lug00000347_560nm.tif,lug00000347_560nm.tif,44.7569835,-0.1724519,149.863007
LUGASSON/lug00000348_560nm.tif,lug00000348_560nm.tif,44.7571345,-0.172412,150.863007
LUGASSON/lug00000349_560nm.tif,lug00000349_560nm.tif,44.7572817,-0.1723759,152.162994
LUGASSON/lug00000350_560nm.tif,lug00000350_560nm.tif,44.7574337,-0.1723493,152.063004
LUGASSON/lug00000351_560nm.tif,lug00000351_560nm.tif,44.7575705,-0.1723408,150.263
LUGASSON/lug00000364_560nm.tif,lug00000364_560nm.tif,44.7561901,-0.1720996,146.462997
LUGASSON/lug00000365_560nm.tif,lug00000365_560nm.tif,44.7559914,-0.1721807,148.263
LUGASSON/lug00000368_560nm.tif,lug00000368_560nm.tif,44.7553365,-0.1723531,148.662994
LUGASSON/lug00000369_560nm.tif,lug00000369_560nm.tif,44.7551109,-0.1724157,147.662994
LUGASSON/lug00000371_560nm.tif,lug00000371_560nm.tif,44.754652,-0.1725183,148.462997
LUGASSON/lug00000372_560nm.tif,lug00000372_560nm.tif,44.7544164,-0.1725813,151.563004
LUGASSON/lug00000373_560nm.tif,lug00000373_560nm.tif,44.7541866,-0.1726628,153.363007
LUGASSON/lug00000374_560nm.tif,lug00000374_560nm.tif,44.7539724,-0.1727423,154.563004
LUGASSON/lug00000376_560nm.tif,lug00000376_560nm.tif,44.7535228,-0.1728755,153.162994
LUGASSON/lug00000377_560nm.tif,lug00000377_560nm.tif,44.7532908,-0.1729293,152.363007
LUGASSON/lug00000378_560nm.tif,lug00000378_560nm.tif,44.7530434,-0.1729878,151.962997
LUGASSON/lug00000379_560nm.tif,lug00000379_560nm.tif,44.7528095,-0.1730422,151.563004
LUGASSON/lug00000380_560nm.tif,lug00000380_560nm.tif,44.7525738,-0.1730877,151.962997
LUGASSON/lug00000381_560nm.tif,lug00000381_560nm.tif,44.7523258,-0.1731401,151.863007
LUGASSON/lug00000382_560nm.tif,lug00000382_560nm.tif,44.7520966,-0.1731911,151.763
LUGASSON/lug00000383_560nm.tif,lug00000383_560nm.tif,44.7518641,-0.1732402,151.063004
LUGASSON/lug00000384_560nm.tif,lug00000384_560nm.tif,44.7516268,-0.1732884,150.462997
LUGASSON/lug00000385_560nm.tif,lug00000385_560nm.tif,44.7513802,-0.1733468,149.662994
LUGASSON/lug00000386_560nm.tif,lug00000386_560nm.tif,44.7511459,-0.1734025,149.462997
LUGASSON/lug00000387_560nm.tif,lug00000387_560nm.tif,44.7509109,-0.173456,149.063004
LUGASSON/lug00000388_560nm.tif,lug00000388_560nm.tif,44.7506737,-0.1735057,148.763
LUGASSON/lug00000389_560nm.tif,lug00000389_560nm.tif,44.7504238,-0.1735593,148.563004
LUGASSON/lug00000390_560nm.tif,lug00000390_560nm.tif,44.750187,-0.1736177,148.162994
LUGASSON/lug00000391_560nm.tif,lug00000391_560nm.tif,44.7499642,-0.1736755,147.962997
LUGASSON/lug00000392_560nm.tif,lug00000392_560nm.tif,44.7497297,-0.1737316,148.162994
LUGASSON/lug00000393_560nm.tif,lug00000393_560nm.tif,44.7495009,-0.173785,148.662994
LUGASSON/lug00000394_560nm.tif,lug00000394_560nm.tif,44.749275,-0.1738426,148.962997
LUGASSON/lug00000395_560nm.tif,lug00000395_560nm.tif,44.7490306,-0.1738993,149.263
LUGASSON/lug00000396_560nm.tif,lug00000396_560nm.tif,44.7487744,-0.1739426,150.063004
LUGASSON/lug00000397_560nm.tif,lug00000397_560nm.tif,44.7485297,-0.1739891,149.763
LUGASSON/lug00000398_560nm.tif,lug00000398_560nm.tif,44.7482687,-0.1740477,148.863007
LUGASSON/lug00000408_560nm.tif,lug00000408_560nm.tif,44.7476547,-0.1731725,146.662994
LUGASSON/lug00000409_560nm.tif,lug00000409_560nm.tif,44.7476824,-0.173386,145.763
